"","Country.Name","Indicator.Code","Year","Users"
"7921","Aruba","IT.NET.USER.P2","1990",0
"7922","Andorra","IT.NET.USER.P2","1990",0
"7923","Afghanistan","IT.NET.USER.P2","1990",0
"7924","Angola","IT.NET.USER.P2","1990",0
"7925","Albania","IT.NET.USER.P2","1990",0
"7926","Arab World","IT.NET.USER.P2","1990",0
"7927","United Arab Emirates","IT.NET.USER.P2","1990",0
"7928","Argentina","IT.NET.USER.P2","1990",0
"7929","Armenia","IT.NET.USER.P2","1990",0
"7930","American Samoa","IT.NET.USER.P2","1990",0
"7931","Antigua and Barbuda","IT.NET.USER.P2","1990",0
"7932","Australia","IT.NET.USER.P2","1990",0.5850947122
"7933","Austria","IT.NET.USER.P2","1990",0.1303693769
"7934","Azerbaijan","IT.NET.USER.P2","1990",0
"7935","Burundi","IT.NET.USER.P2","1990",0
"7936","Belgium","IT.NET.USER.P2","1990",0.001006739618
"7937","Benin","IT.NET.USER.P2","1990",0
"7938","Burkina Faso","IT.NET.USER.P2","1990",0
"7939","Bangladesh","IT.NET.USER.P2","1990",0
"7940","Bulgaria","IT.NET.USER.P2","1990",0
"7941","Bahrain","IT.NET.USER.P2","1990",0
"7942","Bahamas, The","IT.NET.USER.P2","1990",0
"7943","Bosnia and Herzegovina","IT.NET.USER.P2","1990",0
"7944","Belarus","IT.NET.USER.P2","1990",0
"7945","Belize","IT.NET.USER.P2","1990",0
"7946","Bermuda","IT.NET.USER.P2","1990",0
"7947","Bolivia","IT.NET.USER.P2","1990",0
"7948","Brazil","IT.NET.USER.P2","1990",0
"7949","Barbados","IT.NET.USER.P2","1990",0
"7950","Brunei Darussalam","IT.NET.USER.P2","1990",0
"7951","Bhutan","IT.NET.USER.P2","1990",0
"7952","Botswana","IT.NET.USER.P2","1990",0
"7953","Central African Republic","IT.NET.USER.P2","1990",0
"7954","Canada","IT.NET.USER.P2","1990",0.3609997006
"7955","Central Europe and the Baltics","IT.NET.USER.P2","1990",0
"7956","Switzerland","IT.NET.USER.P2","1990",0.5957142234
"7957","Channel Islands","IT.NET.USER.P2","1990",0
"7958","Chile","IT.NET.USER.P2","1990",0
"7959","China","IT.NET.USER.P2","1990",0
"7960","Cote d'Ivoire","IT.NET.USER.P2","1990",0
"7961","Cameroon","IT.NET.USER.P2","1990",0
"7962","Congo, Rep.","IT.NET.USER.P2","1990",0
"7963","Colombia","IT.NET.USER.P2","1990",0
"7964","Comoros","IT.NET.USER.P2","1990",0
"7965","Cabo Verde","IT.NET.USER.P2","1990",0
"7966","Costa Rica","IT.NET.USER.P2","1990",0
"7967","Caribbean small states","IT.NET.USER.P2","1990",0
"7968","Cuba","IT.NET.USER.P2","1990",0
"7969","Curacao","IT.NET.USER.P2","1990",0
"7970","Cayman Islands","IT.NET.USER.P2","1990",0
"7971","Cyprus","IT.NET.USER.P2","1990",0
"7972","Czech Republic","IT.NET.USER.P2","1990",0
"7973","Germany","IT.NET.USER.P2","1990",0.1258922234
"7974","Djibouti","IT.NET.USER.P2","1990",0
"7975","Dominica","IT.NET.USER.P2","1990",0
"7976","Denmark","IT.NET.USER.P2","1990",0.09727726764
"7977","Dominican Republic","IT.NET.USER.P2","1990",0
"7978","Algeria","IT.NET.USER.P2","1990",0
"7979","East Asia & Pacific (excluding high income)","IT.NET.USER.P2","1990",0
"7980","Early-demographic dividend","IT.NET.USER.P2","1990",0.0002453482888
"7981","East Asia & Pacific","IT.NET.USER.P2","1990",0.007288276369
"7982","Europe & Central Asia (excluding high income)","IT.NET.USER.P2","1990",0
"7983","Europe & Central Asia","IT.NET.USER.P2","1990",0.04810557878
"7984","Ecuador","IT.NET.USER.P2","1990",0
"7985","Egypt, Arab Rep.","IT.NET.USER.P2","1990",0
"7986","Euro area","IT.NET.USER.P2","1990",0.07275671384
"7987","Eritrea","IT.NET.USER.P2","1990",0
"7988","Spain","IT.NET.USER.P2","1990",0.01287356445
"7989","Estonia","IT.NET.USER.P2","1990",0
"7990","Ethiopia","IT.NET.USER.P2","1990",0
"7991","European Union","IT.NET.USER.P2","1990",0.06933409668
"7992","Fragile and conflict affected situations","IT.NET.USER.P2","1990",0
"7993","Finland","IT.NET.USER.P2","1990",0.4010876695
"7994","Fiji","IT.NET.USER.P2","1990",0
"7995","France","IT.NET.USER.P2","1990",0.05277786159
"7996","Faroe Islands","IT.NET.USER.P2","1990",0
"7997","Micronesia, Fed. Sts.","IT.NET.USER.P2","1990",0
"7998","Gabon","IT.NET.USER.P2","1990",0
"7999","United Kingdom","IT.NET.USER.P2","1990",0.08735531928
